CalonMahasiswaID	NamaLengkap	TempatLahir	NIK	Email	JenisKelamin	Alamat
10001	Muhammad Ilham Ghiffari	Palopo	532453412033436	iswahyudipuspa@example.org	Perempuan	Kota Surakarta, Jawa Tengah
10002	Sekar Ambar Arum	Kota Administrasi Jakarta Utara	551179610644719	mhandayani@example.net	Laki-laki	Kabupaten Badung, Bali
10003	Ahmad Azzam Babgei	Yogyakarta	534132402682752	hsuryatmi@example.net	Perempuan	Kota Madiun, Jawa Timur
10004	Enggal Nur Febrian Naufaldhianto	Semarang	536258803671186	nprayoga@example.net	Perempuan	Kabupaten Purwakarta, Jawa Barat
10005	Enzy Nalendra	Tidore Kepulauan	560276802112600	iuyainah@example.com	Perempuan	Kota Mojokerto, Jawa Timur
10006	Angga Tri Setia	Bukittinggi	589118843212105	kaylauyainah@example.net	Laki-laki	Kabupaten Indramayu, Jawa Barat
10007	Selfira Adinda Fransiska	Lubuklinggau	585570486421778	intanprasetya@example.org	Perempuan	Kota Denpasar, Bali
10008	Ardanu Dwi Permana	Prabumulih	559776991612285	umar96@example.org	Perempuan	Kabupaten Indramayu, Jawa Barat
10009	Fikki Irsyad Alfadhilah	Pagaralam	522101192747468	samiah80@example.com	Perempuan	Kota Bekasi, Jawa Barat
10010	Awwaludin Ikhsan Nurdiansyah	Sukabumi	571130205427342	susantijohan@example.com	Perempuan	Kabupaten Tabanan, Bali
10011	Angelyca David Vinci	Gorontalo	536181711282552	azalea64@example.net	Perempuan	Kabupaten Indramayu, Jawa Barat
10012	Moch. Aden Qadafi	Singkawang	506401298688521	btarihoran@example.com	Laki-laki	Kota Tasikmalaya, Jawa Barat
10013	Oyashi Bunge Niate	Bitung	500230763604577	lukita32@example.com	Laki-laki	Kota Surakarta, Jawa Tengah
10014	Faraha Aulia Az Zahra	Malang	519436490093425	lestarihari@example.net	Perempuan	Kabupaten Tabanan, Bali
10015	Aqil Sulthan Yuki Maye	Cilegon	572841514615235	jokositorus@example.org	Perempuan	Kota Tasikmalaya, Jawa Barat
10016	Afham Nuha Zikri	Semarang	559517365479957	danangthamrin@example.com	Perempuan	Kabupaten Blitar, Jawa Timur
10017	Stefanny Junita Ekachandra	Jayapura	555991237685166	wijayantilega@example.com	Perempuan	Kota Mojokerto, Jawa Timur
10018	Ammal Haqi	Pekanbaru	536143269687338	dhartati@example.org	Perempuan	Kabupaten Purwakarta, Jawa Barat
10019	Mira Shelvia Putri Gusedy	Payakumbuh	536479313396454	gadingmarbun@example.org	Laki-laki	Kota Bekasi, Jawa Barat
10020	Ruci Avicenna	Pekanbaru	577136390879438	kasim16@example.org	Perempuan	Kota Depok, Jawa Barat
10021	Asvianti Kartikasari	Tidore Kepulauan	506364338000383	wibowoikhsan@example.net	Perempuan	Kabupaten Pasuruan, Jawa Timur
10022	Abdullah Juwan Dawira	Mojokerto	520789000370080	mardhiyahkamidin@example.net	Laki-laki	Kota Bekasi, Jawa Barat
10023	Fatimah Zahra Maulidia	Lhokseumawe	561144475673402	zelayakurniawan@example.com	Laki-laki	Kota Madiun, Jawa Timur
10024	Fajar Nugraha	Salatiga	585099942818370	martakanashiruddin@example.com	Laki-laki	Kabupaten Purwakarta, Jawa Barat
10025	Haryo Putra Brahmadia	Kediri	518508358716296	taswir27@example.net	Perempuan	Kota Semarang, Jawa Tengah
10026	M . Zainus Sholihin	Malang	539386248018604	karimah19@example.com	Laki-laki	Kota Madiun, Jawa Timur
10027	Aditya Nur Hidayat	Pariaman	580438562057750	nurdiyanticalista@example.net	Perempuan	Kabupaten Bangli, Bali
10028	Melati Nur Aini Choirunnisa	Manado	595990759373573	kurniawangalur@example.org	Laki-laki	Kota Bekasi, Jawa Barat
10029	Putu Angga Distrayoga	Palu	569798596329904	anggrainigalur@example.net	Perempuan	Kabupaten Jembrana, Bali
10030	Dimas Fadilah Akbar	Tanjungpinang	504969368655317	candra79@example.net	Laki-laki	Kota Madiun, Jawa Timur
10031	Diva Aurelia Ramadhani	Lhokseumawe	566147762369572	nurainikajen@example.org	Perempuan	Kabupaten Pasuruan, Jawa Timur
10032	Sahda Rani Sulaiman	Banda Aceh	509249441106415	wpudjiastuti@example.com	Laki-laki	Kota Depok, Jawa Barat
10033	Dina Kartika Audya Rachma	Banda Aceh	560272543628434	caketlatupono@example.net	Laki-laki	Kabupaten Bangli, Bali
10034	Anas Azhar	Kota Administrasi Jakarta Timur	578758232812940	sadina61@example.com	Laki-laki	Kabupaten Purwakarta, Jawa Barat
10035	Lucky Adjun Pratama	Lubuklinggau	581671069758631	cuyainah@example.com	Perempuan	Kota Semarang, Jawa Tengah
10036	Jasmin Nadhifah Putri	Bandung	505067278063742	unggul41@example.net	Laki-laki	Kabupaten Tabanan, Bali
10037	Dewinta Aulia Faradela	Subulussalam	592253048966862	dirja25@example.com	Perempuan	Kota Surakarta, Jawa Tengah
10038	Ismadianty Alifa Aziz	Subulussalam	555742111330692	rinisantoso@example.org	Laki-laki	Kabupaten Pati, Jawa Tengah
10039	Muhammad Arrizqo Rahmadita	Parepare	586733929933516	cemanipuspita@example.com	Perempuan	Kabupaten Tangerang, Banten
10040	Rieke Aprilia Wardhani	Tidore Kepulauan	527513956710241	kasusra73@example.net	Perempuan	Kabupaten Cirebon, Jawa Barat
10041	Nela Aidatun Navisyah	Meulaboh	514015781816603	ajionositumorang@example.net	Perempuan	Kabupaten Cirebon, Jawa Barat
10042	Firzan Aulia Pasya	Medan	550793955398033	imammanullang@example.org	Laki-laki	Kota Denpasar, Bali
10043	Gusti Putu Ngurah Lanang Oka Krishna Dwipayana Putra	Binjai	564669650973894	galurmaheswara@example.org	Laki-laki	Kota Madiun, Jawa Timur
10044	Abdillah	Depok	569868871873453	suwarnomaimunah@example.net	Laki-laki	Kota Surabaya, Jawa Timur
10045	Gayatri Ratri Qintan	Tebingtinggi	549444031454171	nurulriyanti@example.net	Laki-laki	Kota Surabaya, Jawa Timur
10046	Siska Dwi Anggraini	Tasikmalaya	563263483506337	harimurti75@example.net	Perempuan	Kota Malang, Jawa Timur
10047	Muhammad Arik Nashrullah	Bandar Lampung	591418600659290	budiyantomujur@example.com	Laki-laki	Kota Tegal, Jawa Tengah
10048	Dita Novimbriani	Magelang	507095454770453	yahyasuryono@example.net	Laki-laki	Kota Bekasi, Jawa Barat
10049	Daffa Juliyandi	Samarinda	503092115826873	iusamah@example.com	Perempuan	Kota Madiun, Jawa Timur
10050	Difa Rifky Ramadhani	Manado	559871112694757	janet01@example.net	Laki-laki	Kabupaten Jembrana, Bali
10051	A. Fahmi Amrulloh	Pasuruan	512346627696699	lnasyidah@example.com	Laki-laki	Kota Malang, Jawa Timur
10052	Safrisda Nur Rasda	Tangerang	588164477198672	zpermadi@example.net	Perempuan	Kota Malang, Jawa Timur
10053	Kurniawati Dwi Putri Anggraini	Salatiga	527685057399459	bakiadi62@example.net	Laki-laki	Kabupaten Blitar, Jawa Timur
10054	Satrio Wahyu Wibowo	Sibolga	592900173436432	limar38@example.com	Laki-laki	Kota Tasikmalaya, Jawa Barat
10055	Naufal Kresnayana Pradipta	Bitung	544831578441703	dhakim@example.net	Laki-laki	Kabupaten Pasuruan, Jawa Timur
10056	Aulia Syifa Khairunnisa	Ternate	587438745254772	cakrawala89@example.org	Perempuan	Kabupaten Pasuruan, Jawa Timur
10057	Khamaludin Ramadhan Zakisty	Pekanbaru	502113669326207	cusamah@example.org	Perempuan	Kota Tasikmalaya, Jawa Barat
10058	Flavio Klorus Daniel Sambhala	Tanjungbalai	536112911695211	prabowonasyiah@example.net	Laki-laki	Kota Mojokerto, Jawa Timur
10059	Uyun Rahmaniyah	Palu	590920114637257	iramansur@example.org	Laki-laki	Kabupaten Cirebon, Jawa Barat
10060	Abiyya Fairuz Nusaly	Palembang	510803582725907	diahsudiati@example.com	Perempuan	Kota Madiun, Jawa Timur
10061	Harris Fikri Satria Utama	Balikpapan	532487455018076	anastasia06@example.org	Laki-laki	Kota Bogor, Jawa Barat
10062	Adelia Yusrina Fadillah	Lubuklinggau	563824817060176	klaksmiwati@example.org	Perempuan	Kabupaten Blitar, Jawa Timur
10063	Nabil Muhammad Fauzan	Bima	560382149060094	firmansyahcayadi@example.com	Perempuan	Kabupaten Badung, Bali
10064	Anisa Rara Indriani	Palu	529911463462309	taufikwahyuni@example.com	Perempuan	Kabupaten Cirebon, Jawa Barat
10065	Michelle Casey	Banjarbaru	553488165848280	gjanuar@example.org	Laki-laki	Kota Medan, Sumatera Utara
10066	Ghinasti Khansa Hamidah	Sibolga	580972439243735	hartana86@example.org	Laki-laki	Kabupaten Tabanan, Bali
10067	Moh. Rizqi Pratama	Tangerang	544946878961286	dacin46@example.org	Perempuan	Kota Denpasar, Bali
10068	Nafis Wildan Arrabi	Bontang	523999423953804	sudiatirama@example.org	Laki-laki	Kota Malang, Jawa Timur
10069	Sulthan Daffa Arif Mahmudi	Kota Administrasi Jakarta Pusat	558913138394054	jayeng22@example.com	Perempuan	Kota Tasikmalaya, Jawa Barat
10070	Diana Zahiroh	Salatiga	593666137755213	ganep90@example.net	Laki-laki	Kabupaten Badung, Bali
10071	Mirkline Samuel Manurung	Pekalongan	538267969003568	situmorangtomi@example.net	Perempuan	Kabupaten Pasuruan, Jawa Timur
10072	Chafshoh Nafilah	Samarinda	558619191801199	usamahmaimunah@example.net	Perempuan	Kota Medan, Sumatera Utara
10073	Siti Nur Kholifah	Sawahlunto	528806598641633	yuniarnardi@example.org	Perempuan	Kota Tegal, Jawa Tengah
10074	Diyah Emianna	Dumai	587816192953771	malika74@example.com	Laki-laki	Kabupaten Jembrana, Bali
10075	Nabila Luthfiani	Salatiga	527201391121949	lantar61@example.net	Perempuan	Kabupaten Pati, Jawa Tengah
10076	Riski Wahyuda Ferdianto	Pangkalpinang	511214184773571	rajataopung@example.org	Laki-laki	Kabupaten Pasuruan, Jawa Timur
10077	Sandhika Surya Ardyanto	Palu	525314100715608	maras78@example.org	Perempuan	Kota Surakarta, Jawa Tengah
10078	Mochammad Aurich Ilham Wicaksono	Bau-Bau	534668330237854	spurnawati@example.org	Perempuan	Kota Surabaya, Jawa Timur
10079	Rava Putra Wedatama	Lubuklinggau	532903390291043	nastuti@example.com	Perempuan	Kota Mojokerto, Jawa Timur
10080	Muh Rofi Arrozaq	Jambi	581116266299686	jamal22@example.org	Laki-laki	Kabupaten Bangli, Bali
10081	Sidratul Hasanah	Batu	523343860836380	samiah62@example.org	Laki-laki	Kota Bekasi, Jawa Barat
10082	Fauzan Ramadhan	Probolinggo	501476013893897	rezausada@example.net	Laki-laki	Kabupaten Jembrana, Bali
10083	Fildzah Nur Shabrina	Balikpapan	541053333806613	dagustina@example.net	Perempuan	Kota Malang, Jawa Timur
10084	Almasa Zahiro	Bitung	585790808436703	wibisonodaru@example.net	Perempuan	Kota Surabaya, Jawa Timur
10085	Adifa Vindianingrum	Kota Administrasi Jakarta Barat	547186802849106	dacinhalimah@example.com	Laki-laki	Kota Surakarta, Jawa Tengah
10086	Ilhan Manzyz S	Lhokseumawe	567340656895738	argono59@example.org	Laki-laki	Kabupaten Jembrana, Bali
10087	Faisal Satria Akmal	Lubuklinggau	575469005614825	tania39@example.com	Laki-laki	Kabupaten Cirebon, Jawa Barat
10088	I Gusti Ayu Satya Dewi	Kotamobagu	508597664524748	hasanahmulyanto@example.net	Laki-laki	Kabupaten Tabanan, Bali
10089	Kirei Sukma Aurelitha	Palopo	538871226955533	eluh92@example.net	Perempuan	Kota Bekasi, Jawa Barat
10090	Andrean Ahmad Rifqi Nurhidayat	Tarakan	552162705285912	xfarida@example.org	Perempuan	Kota Tasikmalaya, Jawa Barat
10091	Adzra Amany Sadida	Tegal	529382995978403	dardianto@example.org	Perempuan	Kabupaten Indramayu, Jawa Barat
10092	Nur Hanifah Auliyah	Banjarmasin	550493874529694	namagaasmuni@example.org	Perempuan	Kota Tasikmalaya, Jawa Barat
10093	Muchammad Indra Faizin	Tanjungbalai	510722915004105	ysaputra@example.org	Laki-laki	Kabupaten Pasuruan, Jawa Timur
10094	Shofiatul Hidayah	Tanjungpinang	512856389567834	maryatipatricia@example.org	Laki-laki	Kabupaten Jembrana, Bali
10095	Dwika Nirmala Andaningrum	Cimahi	568955170201759	sihotangdirja@example.net	Perempuan	Kabupaten Pasuruan, Jawa Timur
10096	Hana Maria Simangunsong	Banjarmasin	543850071677793	jpudjiastuti@example.net	Laki-laki	Kabupaten Indramayu, Jawa Barat
10097	Moch. Maliki Syabana	Samarinda	511681391300127	mustofalaksmiwati@example.net	Laki-laki	Kabupaten Purwakarta, Jawa Barat
10098	I Dewa Gde Sriwisnu Aji Kesawa	Pangkalpinang	591665488255868	hidayatkawaya@example.net	Laki-laki	Kota Malang, Jawa Timur
10099	Doni Juwantoko	Cilegon	531565941137132	lestaritri@example.com	Perempuan	Kota Semarang, Jawa Tengah
10100	Raniah Mulia Putri	Padangpanjang	541074991835773	hidayatbahuwirya@example.net	Laki-laki	Kabupaten Indramayu, Jawa Barat
10101	Inggrit Rismauli Siahaan	Bandung	569394038028089	yahya35@example.com	Perempuan	Kota Surabaya, Jawa Timur
10102	Fathor Rohim	Samarinda	546938934819599	nainggolanelisa@example.org	Laki-laki	Kota Bogor, Jawa Barat
10103	Devryan Adila Putri	Bau-Bau	507921270124309	thardiansyah@example.net	Perempuan	Kota Surakarta, Jawa Tengah
10104	Aulia Rahma Oktaviani	Gorontalo	571571031111937	winarnocinthia@example.org	Perempuan	Kota Bogor, Jawa Barat
10105	Muchamad Muchibbur Ridho	Kota Administrasi Jakarta Selatan	521784853936334	cawisonotampubolon@example.net	Laki-laki	Kota Tegal, Jawa Tengah
10106	Rafi Kurnia Sujiwana	Mataram	555095512729704	keneskuswoyo@example.com	Perempuan	Kota Malang, Jawa Timur
10107	Rizkia Dwi Febriandini	Sukabumi	582720504913203	alikasaptono@example.org	Perempuan	Kabupaten Purwakarta, Jawa Barat
10108	Muhammad Ariq Syamlan	Padangpanjang	591183855498818	ulatupono@example.com	Laki-laki	Kabupaten Badung, Bali
10109	Defani Hari Andaryani	Tomohon	509837797139030	fujiatiedi@example.net	Perempuan	Kota Mojokerto, Jawa Timur
10110	Andika Akbar Wicaksono	Kupang	531765737805312	warsitariyanti@example.org	Perempuan	Kabupaten Indramayu, Jawa Barat
10111	Tasya Putri Rhamadani	Makassar	502375604075363	sihombinggantar@example.com	Perempuan	Kota Medan, Sumatera Utara
10112	Shafiyyah Putri Rahmaningtyas	Pangkalpinang	538640455026059	melanirendy@example.com	Laki-laki	Kota Surabaya, Jawa Timur
10113	Vicka Winda Avrilla	Bau-Bau	592050477098902	amelia57@example.com	Laki-laki	Kabupaten Blitar, Jawa Timur
10114	Qatrunnada Salsabila	Bukittinggi	593600911377081	gilda05@example.com	Laki-laki	Kota Surakarta, Jawa Tengah
10115	Anindiya Syalwa Shefira	Meulaboh	564874312177285	nrima60@example.com	Laki-laki	Kabupaten Bangli, Bali
10116	Bagas Firman Maulana	Bandung	563446422275232	rsimanjuntak@example.net	Laki-laki	Kota Bogor, Jawa Barat
10117	Rafly Bahy Shafwan	Cimahi	575808852689400	eyuliarti@example.com	Perempuan	Kabupaten Tabanan, Bali
10118	Rakha Athallah Haviandra	Dumai	544296807476819	zmandasari@example.org	Laki-laki	Kota Malang, Jawa Timur
10119	Putri Kusumaningtyas	Singkawang	539758671657404	carakahastuti@example.com	Laki-laki	Kabupaten Cirebon, Jawa Barat
10120	Muhammad Hadi Hamdani	Pekalongan	562063104966224	raOSIShkayun@example.net	Laki-laki	Kota Madiun, Jawa Timur
10121	Rahma Fajrina Cahyani	Tanjungbalai	547715477754241	tritamba@example.org	Perempuan	Kota Tasikmalaya, Jawa Barat
10122	Risti Ratna Duhita	Tasikmalaya	515165597442369	nardisitorus@example.org	Laki-laki	Kota Semarang, Jawa Tengah
10123	Mohammad Fahmi	Padang	598090953684481	salahudinyuni@example.com	Perempuan	Kota Bogor, Jawa Barat
10124	Tazkiyah Rizqi Alawi	Binjai	582329156070469	ganephastuti@example.com	Laki-laki	Kabupaten Tangerang, Banten
10125	Jacinda Irma Damayanti	Magelang	500315383444193	anastasia31@example.net	Laki-laki	Kabupaten Purwakarta, Jawa Barat
10126	Radya Ananda Cahyaningtyas	Kotamobagu	580002199423762	violetpradana@example.org	Laki-laki	Kota Depok, Jawa Barat
10127	Daffa Aulia Puteri Nugroho	Medan	538515850183837	oliviasihombing@example.com	Laki-laki	Kabupaten Badung, Bali
10128	Ghani Indrastoto Purwantoro	Pematangsiantar	553182260578314	rajataaurora@example.org	Perempuan	Kabupaten Badung, Bali
10129	Fardan Khoirul Waritsi	Lhokseumawe	502063411326415	imangunsong@example.com	Laki-laki	Kabupaten Purwakarta, Jawa Barat
10130	Akh. Zaki Roihan	Metro	579848620972789	emil95@example.org	Laki-laki	Kabupaten Blitar, Jawa Timur
10131	Kelvin Ardian Syah Putra	Banda Aceh	567657693976183	puspitajasmani@example.com	Laki-laki	Kota Surakarta, Jawa Tengah
10132	Nalendra Nuswantoro	Ambon	523062437751281	damanikcemani@example.net	Perempuan	Kota Bekasi, Jawa Barat
10133	Avonda Rizkytania Putri	Kediri	571546002605609	lamar28@example.com	Laki-laki	Kota Bogor, Jawa Barat
10134	Leony Fiona Hani Putri	Salatiga	582913848942143	martanimandala@example.net	Laki-laki	Kota Denpasar, Bali
10135	Dwi Intan Sulistiana	Jambi	564178704490806	iardianto@example.net	Laki-laki	Kota Madiun, Jawa Timur
10136	Rizky Ramadhani Sudarsono	Kota Administrasi Jakarta Selatan	576877402813796	fharyanti@example.net	Laki-laki	Kota Surabaya, Jawa Timur
10137	Nabila Padusi Hanidra	Salatiga	585796430020387	hasanahtimbul@example.com	Laki-laki	Kota Depok, Jawa Barat
10138	Kania Arthamevia	Kota Administrasi Jakarta Pusat	567581105226112	iriana98@example.org	Perempuan	Kabupaten Tabanan, Bali
10139	Amanda Widya Pramesti	Tasikmalaya	586016423244832	zalindra96@example.com	Laki-laki	Kota Malang, Jawa Timur
10140	Afifah Hasnia Nur Rosita	Palangkaraya	580956954385079	harsaya00@example.org	Perempuan	Kota Surabaya, Jawa Timur
10141	Diaz Putri Wulandari	Depok	501988514450123	waskitatri@example.com	Laki-laki	Kabupaten Jembrana, Bali
10142	Epifanius Kristio Prakoso Putra	Palangkaraya	530000715871648	puput53@example.com	Perempuan	Kota Surabaya, Jawa Timur
10143	Rismatul Solihah	Banjarmasin	550602283674688	bagiya93@example.net	Laki-laki	Kota Bogor, Jawa Barat
10144	Muhammad Dava Yahfal Arieq	Tidore Kepulauan	582003769591517	belindamaryadi@example.net	Perempuan	Kabupaten Indramayu, Jawa Barat
10145	Syahrotul Fitriyah	Tegal	504473368796603	prabowofitriani@example.net	Perempuan	Kabupaten Pasuruan, Jawa Timur
10146	Naura Jasmine Azzahra	Kediri	524854944476421	wpertiwi@example.com	Perempuan	Kota Madiun, Jawa Timur
10147	Gilang Rangga Satria	Kendari	536079244476244	nurainijagapati@example.com	Laki-laki	Kabupaten Bangli, Bali
10148	Raudlatul Chikam	Bandung	587380438819773	prabayulianti@example.org	Laki-laki	Kota Semarang, Jawa Tengah
10149	Retha Novianty Sipayung	Surakarta	510986511649545	wastutiopung@example.org	Laki-laki	Kota Surabaya, Jawa Timur
10150	Alfa Salzabila	Dumai	539210092969123	cemetiwastuti@example.org	Perempuan	Kabupaten Blitar, Jawa Timur
10151	Nasywa Raina Kamiliya	Sabang	548546824263998	bambangutama@example.com	Laki-laki	Kabupaten Badung, Bali
10152	Ahmadhian Daffa Yudistira	Dumai	576302484376181	jasmin17@example.net	Laki-laki	Kabupaten Tangerang, Banten
10153	Arum Putri Maharani	Bima	541745610011667	natalia87@example.com	Laki-laki	Kota Malang, Jawa Timur
10154	Farah Earlene Areta	Parepare	599371675380551	usaefullah@example.com	Laki-laki	Kota Bekasi, Jawa Barat
10155	Mashita Dewi	Sukabumi	574406888653968	dariminpradipta@example.net	Laki-laki	Kabupaten Blitar, Jawa Timur
10156	Labiba Naura Tsabitah	Bandar Lampung	532204099127844	nkusumo@example.com	Laki-laki	Kota Bekasi, Jawa Barat
10157	Rangga Abarru Putra	Kota Administrasi Jakarta Barat	555142816102855	viman95@example.net	Laki-laki	Kota Bekasi, Jawa Barat
10158	Pinandita Agung Dumadi	Sibolga	532369888191446	situmorangdadap@example.org	Laki-laki	Kota Madiun, Jawa Timur
10159	Putra Bungaran Roynaldo Silalahi	Bau-Bau	559518213536390	gaduhusamah@example.org	Perempuan	Kota Malang, Jawa Timur
10160	Nyoman Richardo Januar D'vasta	Bau-Bau	579453339039011	zhardiansyah@example.net	Perempuan	Kabupaten Pati, Jawa Tengah
10161	Martha Andira	Pekalongan	534726010866339	purwanto49@example.net	Perempuan	Kabupaten Indramayu, Jawa Barat
10162	Fitri Ayu Lestari	Probolinggo	505040205878885	nababanwisnu@example.org	Perempuan	Kabupaten Bangli, Bali
10163	Abdul Rohid	Bitung	573766765997341	leo49@example.com	Laki-laki	Kabupaten Jembrana, Bali
10164	Marscelino Dimas Padmanegara	Semarang	590844784964340	fitria77@example.com	Perempuan	Kabupaten Tabanan, Bali
10165	Luri Kamilia Mufidah	Semarang	530723076118543	bakidin36@example.com	Perempuan	Kota Medan, Sumatera Utara
10166	Jeremia Panggabean	Palu	549964722137879	hartatiratih@example.org	Perempuan	Kota Madiun, Jawa Timur
10167	Ifa Khoirun Nisa	Tebingtinggi	520157823115609	oktanugroho@example.net	Laki-laki	Kota Bogor, Jawa Barat
10168	Muhammad Zayd Nabhan	Ternate	533307539694576	balapati06@example.net	Perempuan	Kota Mojokerto, Jawa Timur
10169	Wildan Novi Azaria	Palangkaraya	584509789161665	arsipatrawacana@example.net	Perempuan	Kota Madiun, Jawa Timur
10170	Rizal Dzikri Fauzi	Samarinda	504397082668525	tugiman72@example.net	Perempuan	Kota Malang, Jawa Timur
10171	Kholidina Maghfiroh	Banjar	538161852780856	usiregar@example.com	Perempuan	Kota Madiun, Jawa Timur
10172	Diyah Anggraeni Putri	Sibolga	576421555495018	melanireksa@example.org	Laki-laki	Kabupaten Purwakarta, Jawa Barat
